"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"350630725743157248","350630553269190659","19161647","","","2013-06-28 15:04:14 +0000","web","@grapswiz おはよう＾ー＾"
"350630433039466496","","","","","2013-06-28 15:03:04 +0000","web","寝るね；；"
"350630344669671425","","","","","2013-06-28 15:02:43 +0000","web","やべぇプリンターあんじゃん最強！！！！！と思って調子乗って6枚くらい印刷したら、紙1枚10円ですって言われた。"
"350630081653256193","350629605612335105","225819818","","","2013-06-28 15:01:40 +0000","web","@century_sho Wさんと行きました！間違いないですね！！"
"350630001416216576","350629495847391236","273291712","","","2013-06-28 15:01:21 +0000","web","@kamoti_Lm 会津若松市民になったばかりなのに・・・。"
"350629730023768065","","","","","2013-06-28 15:00:16 +0000","<a href=""http://srsb.increal.jp"" rel=""nofollow"">さらそば岬</a>","ただ、ラウンジで周りにいる人3人くらいみんな履歴書書いてて静かな戦いの幕開けを感じさせる。"
"350628434029985792","","","","","2013-06-28 14:55:07 +0000","web","ここのカプセルホテル飲食物持ち込み可だし全館無線LAN完備だしプリンターあるし最強な感じする。"
"350623677991239682","","","","","2013-06-28 14:36:13 +0000","<a href=""http://srsb.increal.jp"" rel=""nofollow"">さらそば岬</a>","焼き鳥おいしかった。カプセルホテル童貞捨てた。"
"350576722502103041","","","","","2013-06-28 11:29:38 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I'm at 四文屋 秋葉原店 (千代田区, 東京都) http://t.co/CJUibHGQ7J","http://4sq.com/1520bO2"
"350571554939228160","","","","","2013-06-28 11:09:06 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","やば http://t.co/o540Adrznz","http://twitter.com/takuti/status/350571554939228160/photo/1"
"350562074855866370","","","","","2013-06-28 10:31:26 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","ここで携帯の電池切れてる人探すってどんなクエストだよ…"
"350561806382673920","350561096492531712","19161647","","","2013-06-28 10:30:22 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","@grapswiz"
"350561073449009152","","","","","2013-06-28 10:27:27 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I'm at 秋葉原駅 電気街口 (千代田区, 東京都) w/ 10 others http://t.co/1K85a5tVTl","http://4sq.com/111vA44"
"350557945383223296","","","","","2013-06-28 10:15:01 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","セプキャンのアンケート、ファイル名文字化けから推察するにかなり高度な問題だと考えてまだ触れていない。"
"350557247237144577","","","","","2013-06-28 10:12:15 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","リマ…"
"350555787027947522","","558569844","","","2013-06-28 10:06:27 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","@lis2501 @xemdmx そそそそんなにさきなんですね"
"350555637018660866","","","","","2013-06-28 10:05:51 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","駅のホームで僕がフリスクをぶちまける事案が発生(2粒くらい)"
"350554217909460993","","","","","2013-06-28 10:00:13 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","へい (@ 池袋駅 (Ikebukuro Sta.) w/ 39 others) http://t.co/9TO6KLoDvD","http://4sq.com/1aTnAE0"
"350487510243213312","","","","","2013-06-28 05:35:08 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","かわりゆくまちなみ"
"350487425518288896","350487194659598338","173464519","","","2013-06-28 05:34:48 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","@xemdmx わわわわかりません…"
"350487087100854273","","","","","2013-06-28 05:33:27 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","駅前にステーキ宮できてるしらなかった…"
"350485692540923904","","","","","2013-06-28 05:27:55 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","地獄 (@ 若松駅前 バスターミナル) http://t.co/1h7ASGXzm8","http://4sq.com/1aSN58v"
"350473098589503490","","","","","2013-06-28 04:37:52 +0000","<a href=""http://srsb.increal.jp"" rel=""nofollow"">さらそば岬</a>","？？？？？？？？"
"350326599167639552","350224600015192064","1189412966","","","2013-06-27 18:55:44 +0000","web","@chinosque 北海道を閉じ込めたらしい。"
"350324420289634304","","","","","2013-06-27 18:47:05 +0000","<a href=""http://srsb.increal.jp"" rel=""nofollow"">さらそば岬</a>","マジかよ・・・・"
"350224206627233792","","","","","2013-06-27 12:08:52 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","わけわかんねぇ買い物しちまった…(罪悪感 http://t.co/MX3nNP53tF","http://twitter.com/takuti/status/350224206627233792/photo/1"
"350222977830359041","350222581502197760","1261308476","","","2013-06-27 12:03:59 +0000","web","@alpaca_p 死罪！！！"
"350221904621215747","","","","","2013-06-27 11:59:43 +0000","web","TENPURA"
"350221745485123584","350221659896168448","1468580610","","","2013-06-27 11:59:05 +0000","web","@araco_uu 天使"
"350221627436441600","","","","","2013-06-27 11:58:37 +0000","web","天"
"350221559186722817","","","","","2013-06-27 11:58:21 +0000","web","天ぷら"
"350221543307096064","","","","","2013-06-27 11:58:17 +0000","web","天ぷら食べたい"
"350217999065690113","","","","","2013-06-27 11:44:12 +0000","web","みたらし団子のおいしさに震えて会いたい"
"350217903397814275","350124523422629888","262247094","","","2013-06-27 11:43:49 +0000","web","@kyohon123 あつめてない・・・"
"350118392532983808","","","","","2013-06-27 05:08:24 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","銀なら五枚 http://t.co/M6OWonII4r","http://twitter.com/takuti/status/350118392532983808/photo/1"
"350118382424715264","","","","","2013-06-27 05:08:22 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","金なら一枚 http://t.co/u2i07GhEP7","http://twitter.com/takuti/status/350118382424715264/photo/1"
"349800985595621376","","","","","2013-06-26 08:07:08 +0000","<a href=""http://srsb.increal.jp"" rel=""nofollow"">さらそば岬</a>","ヨーグルト"
"349798558058287104","","","","","2013-06-26 07:57:29 +0000","<a href=""http://srsb.increal.jp"" rel=""nofollow"">さらそば岬</a>","いろいろやりすぎて自己PRで話の軸を持たせるのがツラいんだけどみんなどうやってんの"
"349793348485251072","","","","","2013-06-26 07:36:47 +0000","<a href=""http://srsb.increal.jp"" rel=""nofollow"">さらそば岬</a>","セブンの唐揚げ棒食べなきゃだめだめ病が"
"349519476376612865","","","","","2013-06-25 13:28:31 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","大学の汚点それすなわち自虐ネタ"
"349490415642230786","","","","","2013-06-25 11:33:02 +0000","<a href=""http://srsb.increal.jp"" rel=""nofollow"">さらそば岬</a>","もずく　とても　うまい"
"349461715156602881","","","","","2013-06-25 09:39:00 +0000","web","ぐっちょぐちょで恥ずかしすぎる汚点だよね。でも僕そういうとこも結構好きだよ。"
